Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,,0.125,,0.125,0.2375624316606353
1,0.0,Stdev,,0.33071891388307384,,0.33071891388307384,0.03341028374935998
1,0.0,Max,,0.0,,0.0,0.25
1,0.1,Mean,,0.375,,0.375,0.2167233920923861
1,0.1,Stdev,,0.4841229182759271,,0.4841229182759271,0.04611339963500719
1,0.1,Max,,0.0,,0.0,0.25
1,0.5,Mean,,0.20833333333333334,,0.20833333333333334,0.22643308241940122
1,0.5,Stdev,,0.4061164310337068,,0.4061164310337068,0.046175171951963676
1,0.5,Max,,0.0,,0.0,0.25
2,0.0,Mean,,0.375,,0.375,0.15625
2,0.0,Stdev,,0.4841229182759271,,0.4841229182759271,0.12103072956898178
2,0.0,Max,,0.0,,0.0,0.25
2,0.1,Mean,,0.375,,0.375,0.15625
2,0.1,Stdev,,0.4841229182759271,,0.4841229182759271,0.12103072956898178
2,0.1,Max,,0.0,,0.0,0.25
2,0.5,Mean,,0.375,,0.375,0.15625
2,0.5,Stdev,,0.4841229182759271,,0.4841229182759271,0.12103072956898178
2,0.5,Max,,0.0,,0.0,0.25
3,0.0,Mean,1.0,1.0,1.0,1.0,0.0
3,0.0,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.0,Max,1.0,1.0,1.0,1.0,0.0
3,0.1,Mean,1.0,1.0,1.0,1.0,0.0
3,0.1,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.1,Max,1.0,1.0,1.0,1.0,0.0
3,0.5,Mean,1.0,1.0,1.0,1.0,0.0
3,0.5,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.5,Max,1.0,1.0,1.0,1.0,0.0
