Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,0.9171734743648708,0.3871270349365696,0.5330745637862139,0.2505391718969103,0.17623344196850996
1,0.0,Stdev,0.07146324238770807,0.10282600307887432,0.09794350484612535,0.0479539157181268,0.039677706186674454
1,0.0,Max,0.9215686274509803,0.5802469135802469,0.7121212121212122,0.32477076038532393,0.15510222922892716
1,0.1,Mean,0.5372104281653235,0.3412538988185003,0.3752163578559964,0.1919966505017037,0.12810965292808751
1,0.1,Stdev,0.19140842234907773,0.12365417591242711,0.0804129352488706,0.04369596021271851,0.05337020997559489
1,0.1,Max,0.625,0.449438202247191,0.5228758169934641,0.22151803326966385,0.18666018764902087
1,0.5,Mean,0.15173213682145162,0.2090094818126996,0.16510312219415377,0.09377453587245839,0.06787434896061045
1,0.5,Stdev,0.06974221942367144,0.09912480392779871,0.06290536160276042,0.02992470393699618,0.025786105510409208
1,0.5,Max,0.2765957446808511,0.2708333333333333,0.27368421052631575,0.1383145255297043,0.11455712597259254
2,0.0,Mean,0.9245624814646439,0.40231459056149177,0.558141432419474,0.2374710068316714,0.2738541666666666
2,0.0,Stdev,0.10195212932498612,0.04030576980546863,0.045125357938277544,0.06750679025609194,0.02239534883196856
2,0.0,Max,1.0,0.45989304812834225,0.63003663003663,0.3268002290372297,0.2525
2,0.1,Mean,0.25783997883960585,0.4067155762454253,0.29421612642475314,0.04504402231678454,0.20989583333333336
2,0.1,Stdev,0.12476491693510705,0.0984252178185303,0.1060925160481914,0.025475255341260283,0.02189557564072908
2,0.1,Max,0.4318181818181818,0.5135135135135135,0.4691358024691358,0.09843201492105551,0.215
2,0.5,Mean,0.14207886661339442,0.4051644126448062,0.2048188145587541,0.026020647397314675,0.20677083333333335
2,0.5,Stdev,0.053027361057729865,0.08306889220714028,0.06435221022259192,0.01562416383192666,0.015553656568115706
2,0.5,Max,0.22093023255813954,0.4634146341463415,0.2992125984251969,0.04175529662345073,0.2225
3,0.0,Mean,0.9539473684210525,0.3523715120078886,0.4994353433020706,0.32071385945880987,0.105
3,0.0,Stdev,0.0511016675339081,0.13002406326974641,0.1310591001839799,0.11246749157582238,0.05375484474290046
3,0.0,Max,0.9473684210526315,0.6206896551724138,0.7499999999999999,0.5571597887325875,0.03
3,0.1,Mean,0.5307017543859649,0.22353587269065203,0.2932074106342504,0.10606824826061023,0.1188541666666667
3,0.1,Stdev,0.2416264652778828,0.09966903151061142,0.10781227068505837,0.06703319779825118,0.04732962408441696
3,0.1,Max,0.47368421052631576,0.5625,0.5142857142857143,0.26628124889636273,0.0425
3,0.5,Mean,0.17105263157894735,0.11993972904138193,0.13681617650545935,0.0243367585612662,0.09791666666666665
3,0.5,Stdev,0.11495914405334347,0.07758679830819394,0.08543713494249401,0.026192113993021116,0.0194811162126016
3,0.5,Max,0.42105263157894735,0.2857142857142857,0.3404255319148936,0.11374014108971665,0.0775
