Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,,0.42883167939186273,,0.2938518404781694,0.1793006245355975
1,0.0,Stdev,,0.2467446801936915,,0.15160364892641698,0.06518423998983645
1,0.0,Max,,0.0,,0.0,0.33
1,0.1,Mean,0.7894655589508534,0.4085696345917551,0.48794546663230814,0.2600054591834466,0.1681880375775775
1,0.1,Stdev,0.21972707026515598,0.16835615696406964,0.1306472686487835,0.06665748064693919,0.05084743585226929
1,0.1,Max,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.3685595987222751,0.18581674389825736
1,0.5,Mean,0.3542017758929525,0.284267642080142,0.29700937563451874,0.1748117261879021,0.11359028727772662
1,0.5,Stdev,0.18192212364358495,0.1348686545368322,0.13011955098199834,0.07050568064566229,0.031531370128709005
1,0.5,Max,0.6666666666666666,0.6153846153846154,0.64,0.36983322493171406,0.10401823856047546
2,0.0,Mean,0.9650505994291749,0.48241282374903066,0.6389765919768223,0.3442272280613858,0.19499999999999998
2,0.0,Stdev,0.043996865738672106,0.07617685867473255,0.059899825680785654,0.07695562452304107,0.05082650227325636
2,0.0,Max,0.9230769230769231,0.75,0.8275862068965518,0.5863149832287213,0.05
2,0.1,Mean,0.5476785611905581,0.4258887266403086,0.4668631197491415,0.12337441915207602,0.2091666666666667
2,0.1,Stdev,0.18405423080289107,0.07837755698739841,0.11332232274529459,0.07400539353241745,0.03546320471825535
2,0.1,Max,0.7619047619047619,0.5714285714285714,0.6530612244897959,0.2550500903329733,0.17
2,0.5,Mean,0.3316292215624646,0.46709147334147344,0.3774001641994587,0.08179547789266789,0.19249999999999998
2,0.5,Stdev,0.10342053636798719,0.10759566767777615,0.08455266678538136,0.04491594620234128,0.03243583409338094
2,0.5,Max,0.6111111111111112,0.5238095238095238,0.5641025641025642,0.1819054397999549,0.17
3,0.0,Mean,0.9953703703703703,0.508275121528798,0.653487654946306,0.466827700559247,0.10833333333333335
3,0.0,Stdev,0.02220292371904037,0.19562886391381415,0.1531900567747319,0.20122631915289693,0.05892556509887897
3,0.0,Max,1.0,1.0,1.0,1.0,0.0
3,0.1,Mean,0.7407407407407409,0.3741615705858033,0.48656427947273007,0.213451423383317,0.14583333333333334
3,0.1,Stdev,0.14224343977534462,0.1090531499725758,0.10037702131768163,0.1017489390227736,0.04480668352923355
3,0.1,Max,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.46832484619431664,0.06
3,0.5,Mean,0.3287037037037037,0.24872379691458638,0.27294878582341564,0.06227694827759952,0.15
3,0.5,Stdev,0.18834116302599993,0.10831447162091515,0.12048039293859832,0.05872911428914967,0.029580398915498077
3,0.5,Max,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.2261742310475996,0.17
