Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,0.9584573412698414,0.4307781637461872,0.5651761704961421,0.2984333557860003,0.18876739095520487
1,0.0,Stdev,0.08396795962470355,0.18433711523814456,0.1795374280218992,0.11098066926627596,0.0602764677697221
1,0.0,Max,1.0,0.7857142857142857,0.8800000000000001,0.5393250667175395,0.0958186596579249
1,0.1,Mean,0.8613311423054069,0.4022122291965707,0.48889349027904266,0.2655355919872974,0.18240692755532117
1,0.1,Stdev,0.20534930561643372,0.19772249476039133,0.1499684765043635,0.09881651342837838,0.08132660834065857
1,0.1,Max,1.0,0.7,0.8235294117647058,0.5386569319954317,0.07061776823397185
1,0.5,Mean,0.31322874769565945,0.2517493176113533,0.2544722331549269,0.15888056214767748,0.09904231847680234
1,0.5,Stdev,0.19546074805320468,0.1306971563922393,0.12432597646781365,0.06903621216250724,0.03849979412741898
1,0.5,Max,0.5714285714285714,0.4444444444444444,0.5,0.3112364767262333,0.07710864490938192
2,0.0,Mean,0.9891512635756056,0.5238752529401131,0.682780635407168,0.40570181049223647,0.16833333333333336
2,0.0,Stdev,0.02129827704948593,0.06295630219517445,0.054187745131078345,0.07258478904898971,0.040380138131952376
2,0.0,Max,1.0,0.6521739130434783,0.7894736842105263,0.5698802981675021,0.08
2,0.1,Mean,0.5805878091434274,0.4343734996309703,0.4740460331262619,0.1387696699377894,0.2116666666666667
2,0.1,Stdev,0.22738789074581958,0.0913137677636452,0.11199875180027484,0.08783322489245769,0.03880148908940939
2,0.1,Max,0.7391304347826086,0.5862068965517241,0.6538461538461537,0.2399629153328686,0.18
2,0.5,Mean,0.25568545478858945,0.40458354389275447,0.29662254846925734,0.04928561776829155,0.21666666666666676
2,0.5,Stdev,0.1282817519848104,0.12509401637026982,0.10967268809202768,0.04218980751488943,0.03880148908940939
2,0.5,Max,0.625,0.38461538461538464,0.4761904761904763,0.11493746047825756,0.22
3,0.0,Mean,0.9907407407407408,0.4627016178706695,0.6164781184229455,0.41556437806242214,0.1225
3,0.0,Stdev,0.030709488799587036,0.15762773441185537,0.13163049600927626,0.1565015635019537,0.05539629951540084
3,0.0,Max,1.0,0.9,0.9473684210526315,0.860486227572318,0.01
3,0.1,Mean,0.8194444444444448,0.3991120901154946,0.5167857462366632,0.2593292802762827,0.1466666666666667
3,0.1,Stdev,0.14980268229040222,0.12328379411726231,0.09490035520277511,0.09793493551073573,0.05647024782032472
3,0.1,Max,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.3751660290349273,0.07
3,0.5,Mean,0.2638888888888889,0.20936906195226632,0.2227194032406461,0.037105485030822824,0.15750000000000006
3,0.5,Stdev,0.14632852434517687,0.09268551899865016,0.09998218139658148,0.03513889711195295,0.03665719574653795
3,0.5,Max,0.5555555555555556,0.35714285714285715,0.4347826086956522,0.1399708704015458,0.13
