Graph Type,\sigma noise,Information,Precision,Recall,F score,NMI,l2error
1,0.0,Mean,,0.125,,0.125,0.23876519569299448
1,0.0,Stdev,,0.33071891388307384,,0.33071891388307384,0.030709344027546884
1,0.0,Max,,0.0,,0.0,0.25
1,0.1,Mean,,0.375,,0.375,0.2139852118610992
1,0.1,Stdev,,0.4841229182759271,,0.4841229182759271,0.04951606909940302
1,0.1,Max,,0.0,,0.0,0.25
1,0.5,Mean,,0.16666666666666666,,0.16666666666666666,0.23413591763096928
1,0.5,Stdev,,0.3726779962499649,,0.3726779962499649,0.03794414937276265
1,0.5,Max,,0.0,,0.0,0.25
2,0.0,Mean,,0.2916666666666667,,0.2916666666666667,0.17708333333333334
2,0.0,Stdev,,0.45452967144315487,,0.45452967144315487,0.11363241786078869
2,0.0,Max,,0.0,,0.0,0.25
2,0.1,Mean,,0.3333333333333333,,0.3333333333333333,0.16666666666666666
2,0.1,Stdev,,0.4714045207910317,,0.4714045207910317,0.11785113019775792
2,0.1,Max,,0.0,,0.0,0.25
2,0.5,Mean,,0.5416666666666666,,0.5416666666666666,0.11458333333333333
2,0.5,Stdev,,0.4982608642958916,,0.4982608642958916,0.12456521607397292
2,0.5,Max,,0.0,,0.0,0.25
3,0.0,Mean,1.0,1.0,1.0,1.0,0.0
3,0.0,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.0,Max,1.0,1.0,1.0,1.0,0.0
3,0.1,Mean,1.0,1.0,1.0,1.0,0.0
3,0.1,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.1,Max,1.0,1.0,1.0,1.0,0.0
3,0.5,Mean,1.0,1.0,1.0,1.0,0.0
3,0.5,Stdev,0.0,0.0,0.0,0.0,0.0
3,0.5,Max,1.0,1.0,1.0,1.0,0.0
